timestamp,section,level,capacity,empty_seats,utilization_rate
2023-04-13 10:20:00+00:00,clb_3-window_seat,clb_3,100,74,0.26
2023-04-13 10:20:00+00:00,clb_3-sofa,clb_3,100,81,0.19
2023-04-13 10:20:00+00:00,clb_3-soft_seat,clb_3,100,81,0.19
2023-04-13 10:20:00+00:00,clb_3-cubicle,clb_3,40,0,1
2023-04-13 10:20:00+00:00,clb_3-discussion_cubicle,clb_3,40,26,0.35
2023-04-13 10:20:00+00:00,clb_3-diagonal_seat,clb_3,40,27,0.325
2023-04-13 10:20:00+00:00,clb_4-movable_seat,clb_4,120,105,0.125
2023-04-13 10:20:00+00:00,clb_4-4_man_seat,clb_4,50,43,0.14
2023-04-13 10:20:00+00:00,clb_4-8_man_seat,clb_4,100,87,0.13
2023-04-13 10:20:00+00:00,clb_4-window_seat,clb_4,100,75,0.25
2023-04-13 10:20:00+00:00,clb_4-sofa,clb_4,100,83,0.17
2023-04-13 10:20:00+00:00,clb_4-soft_seat,clb_4,100,83,0.17
2023-04-13 10:20:00+00:00,clb_4-cubicle,clb_4,40,0,1
2023-04-13 10:20:00+00:00,clb_4-discussion_cubicle,clb_4,40,28,0.3
2023-04-13 10:20:00+00:00,clb_4-diagonal_seat,clb_4,40,28,0.3
2023-04-13 10:20:00+00:00,clb_5-movable_seat,clb_5,120,109,0.091666667
2023-04-13 10:20:00+00:00,clb_5-4_man_seat,clb_5,50,44,0.12
2023-04-13 10:20:00+00:00,clb_5-8_man_seat,clb_5,100,89,0.11
2023-04-13 10:20:00+00:00,clb_5-window_seat,clb_5,100,81,0.19
2023-04-13 10:20:00+00:00,clb_5-sofa,clb_5,100,86,0.14
2023-04-13 10:20:00+00:00,clb_5-soft_seat,clb_5,100,86,0.14
2023-04-13 10:20:00+00:00,clb_5-cubicle,clb_5,40,0,1
2023-04-13 10:20:00+00:00,clb_5-discussion_cubicle,clb_5,40,30,0.25
2023-04-13 10:20:00+00:00,clb_5-diagonal_seat,clb_5,40,30,0.25
2023-04-13 10:20:00+00:00,clb_6-movable_seat,clb_6,120,112,0.066666667
2023-04-13 10:20:00+00:00,clb_6-4_man_seat,clb_6,50,47,0.06
2023-04-13 10:20:00+00:00,clb_6-8_man_seat,clb_6,100,92,0.08
2023-04-13 10:20:00+00:00,clb_6-window_seat,clb_6,100,84,0.16
2023-04-13 10:20:00+00:00,clb_6-sofa,clb_6,100,90,0.1
2023-04-13 10:20:00+00:00,clb_6-soft_seat,clb_6,100,90,0.1
2023-04-13 10:20:00+00:00,clb_6-cubicle,clb_6,40,0,1
2023-04-13 10:20:00+00:00,clb_6-discussion_cubicle,clb_6,40,31,0.225
2023-04-13 10:20:00+00:00,clb_6-diagonal_seat,clb_6,40,31,0.225
2023-04-13 10:20:00+00:00,wbs_6-movable_seat,wbs_6,120,105,0.125
2023-04-13 10:20:00+00:00,wbs_6-4_man_seat,wbs_6,50,42,0.16
2023-04-13 10:20:00+00:00,wbs_6-8_man_seat,wbs_6,100,85,0.15
2023-04-13 10:20:00+00:00,wbs_6-window_seat,wbs_6,100,81,0.19
2023-04-13 10:20:00+00:00,wbs_6-sofa,wbs_6,100,83,0.17
2023-04-13 10:20:00+00:00,wbs_6-soft_seat,wbs_6,100,83,0.17
2023-04-13 10:20:00+00:00,wbs_6-cubicle,wbs_6,40,0,1
2023-04-13 10:20:00+00:00,wbs_6-discussion_cubicle,wbs_6,40,29,0.275
2023-04-13 10:20:00+00:00,wbs_6-diagonal_seat,wbs_6,40,30,0.25
